"Sypht","https://sypht.com/","API-First Extraction - Australia-Based IDP","AI document extraction for invoices, receipts, IDs (Australia origin)","Usage-based API pricing","API-first extraction focused on APAC market (Australia based)","Developers/Operations in AP/Fintech (Australia/Global)","Australia-based, API-first approach, APAC market focus","Invoices, receipts, IDs for AP and fintech in APAC"
"Microblink (BlinkID)","https://microblink.com/","ID Document Scanning SDK/API - BlinkID Extraction","On-device and cloud ID document scanning SDK","License/usage-based","ID document scanning SDK/API with BlinkID technology","Developers, KYC/Onboarding applications","On-device + cloud options, BlinkID technology, mobile SDK focus, developer-friendly","ID cards, passports for KYC and identity verification apps"
"Smart Engines","https://smartengines.com/","Edge ID Document Recognition SDK","On-device OCR/ID recognition for passports and IDs","License-based","Edge ID document recognition with on-device processing","Developers, KYC/Border control (EU/Global)","On-device/edge processing, no cloud dependency, privacy-focused, SDK for mobile","Passports, IDs for KYC and border control"
"Regula Document Reader","https://regulaforensics.com/","Forensic-Grade ID Verification SDK","Identity document authentication with forensic-level accuracy","License-based","Forensic-grade ID verification for high-security applications","Developers, Border control, High-security KYC","Forensic-grade authentication, high-security focus, SDK/APIs for identity documents","Passports, IDs for border control and forensic-level verification"
"Anyline","https://anyline.com/","Mobile Scanning SDK - On-Device OCR","Mobile SDK for on-device scanning of IDs, license plates, barcodes","License-based","Mobile scanning SDK with on-device OCR (EU-based)","Developers, Field operations, KYC applications (EU/Global)","On-device processing (privacy), mobile SDK, IDs/license plates/barcodes, European vendor","IDs, license plates, barcodes, meters for field ops and KYC"
"OCR.Space","https://ocr.space/OCRAPI","Low-Cost OCR API","Free and low-cost OCR API for images and PDFs","Free tier + Per API call pricing","Low-cost OCR API for developers","Developers needing basic OCR","Low-cost/free OCR, simple REST API, basic text extraction","OCR for images/PDFs (basic text extraction)"
"Adobe PDF Extract API","https://developer.adobe.com/document-services/apis/pdf-extract/","PDF-Centric Extraction API - Tables/Forms from PDFs","Extract tables and forms from PDFs using Adobe AI","Per API call","PDF-centric extraction for Adobe ecosystem users","Developers working with PDFs","Adobe ecosystem, PDF-specific focus, table and form extraction, AI-powered","Tables/forms from PDFs for Adobe Document Services users"
"PDF.co (ByteScout)","https://pdf.co/","PDF Parsing and Data Extraction API","PDF tools + parsing and data extraction via API","Per API call","PDF parsing and data extraction API with Zapier integration","Developers needing PDF manipulation","PDF parsing, data extraction, Zapier integration, REST API","PDF parse/convert/extract for automation workflows"
"ExtractTable","https://extracttable.com/","Table Extraction API - Extract Tables from PDFs/Images","Tabular data extraction from PDFs and images","Per API call","Specialized API for table extraction from documents","Developers needing table extraction","Specialized in table extraction, PDF and image support, REST API","Tables from PDFs/images for data analysis"
"Tesseract OCR","https://github.com/tesseract-ocr/tesseract","Google Open-Source OCR Engine","General-purpose OCR engine, open-source","Free (Open-source)","Google's open-source OCR engine","Developers, Researchers","Google-backed, open-source, widely used, community support, general OCR","OCR for images/PDFs (open-source projects)"
"PaddleOCR","https://github.com/PaddlePaddle/PaddleOCR","Baidu PaddlePaddle Deep Learning OCR Toolkit","Deep learning OCR with layout analysis","Free (Open-source)","Baidu's deep learning OCR toolkit with layout support","Developers, Researchers in China/Global","Baidu PaddlePaddle framework, deep learning, layout analysis, Asian language support","OCR + layout for images with Asian language focus"
"docTR","https://github.com/mindee/doctr","Mindee OSS Deep Learning OCR - Text Detection/Recognition","Deep learning OCR for text detection and recognition","Free (Open-source)","Mindee's open-source OCR library","Developers, Researchers","Mindee-backed, deep learning approach, text detection + recognition, open-source","OCR (text detection/recognition) for documents"
"Donut (OCR-free)","https://github.com/clovaai/donut","OCR-Free Transformer for Documents - End-to-End","Transformer-based document parsing without OCR step","Free (Open-source)","OCR-free transformer model for end-to-end document understanding","Developers, Researchers, ML engineers","OCR-free approach (direct image-to-text), transformer-based, Naver Clova AI, research-focused","Document understanding without traditional OCR (end-to-end)"
"MMOCR","https://github.com/open-mmlab/mmocr","OpenMMLab OCR Models and Pipelines","Comprehensive OCR toolkit with models and pipelines","Free (Open-source)","OpenMMLab's OCR suite with multiple models","Developers, Researchers, Computer vision engineers","OpenMMLab framework, multiple OCR models, comprehensive toolkit, research-focused","OCR models and pipelines for research and development"
"LayoutParser","https://layout-parser.github.io/","Document Layout Analysis Toolkit","Open-source toolkit for document layout detection and parsing","Free (Open-source)","Layout analysis toolkit for document structure understanding","Developers, Researchers","Layout detection focus, document structure analysis, open-source, research community support","Layout detection + parsing for document structure analysis"
"GROBID","https://grobid.readthedocs.io/","Open-Source for Scholarly Documents - Scientific Papers to TEI/XML","Extract bibliographic information from scientific papers","Free (Open-source)","Open-source tool for scholarly document processing","Researchers, Publishers, Academic institutions","Scholarly document focus, bibliographic extraction, TEI/XML output, academic/research community","Scientific papers to TEI/XML for academic publishing"
"Microsoft SharePoint Syntex","https://www.microsoft.com/microsoft-365/sharepoint/syntex","Content AI with Forms Processing for M365","Forms processing, auto-tagging, content understanding within SharePoint","Per user + usage-based","Content AI with forms processing for Microsoft 365 ecosystem","M365 admins, IT teams in Microsoft shops","M365 integration, SharePoint-native, content AI, forms processing, auto-tagging, Power Platform connection","Forms processing, auto-tagging for M365/SharePoint content"
"SAP Document Information Extraction","https://help.sap.com/docs/btp/sap-document-information-extraction/overview","SAP-Native Document AI for BTP","Pretrained invoice/PO processors within SAP ecosystem","Subscription + usage-based","SAP-native document AI for SAP BTP customers","Enterprise IT using SAP S/4HANA, BTP","SAP-native, BTP integration, pretrained processors for SAP workflows","Invoices, POs, receipts for SAP customers"
"Oracle Document Understanding","https://www.oracle.com/artificial-intelligence/document-understanding/","OCI AI Document Processing","Document processing within Oracle Cloud Infrastructure","Usage-based","OCI AI document processing for Oracle ecosystem","Enterprise IT using Oracle ERP/OCI","OCI Vision/AI services, Oracle ecosystem integration, cloud-native","Invoices, forms, contracts for Oracle customers"
